gameCode,date,visitTeam,homeTeam,stadium,site
5012820130829.00,8/29/13,5,128,146,TEAM
102063020130829.00,8/29/13,102,630,18,TEAM
299004720130829.00,8/29/13,299,47,48,TEAM
305030620130829.00,8/29/13,305,306,47,TEAM
314071820130829.00,8/29/13,314,718,58,TEAM
355033120130829.00,8/29/13,355,331,100,TEAM
433073620130829.00,8/29/13,433,736,117,TEAM
457064820130829.00,8/29/13,457,648,113,TEAM
465042820130829.00,8/29/13,465,428,153,TEAM
587009620130829.00,8/29/13,587,96,13,TEAM
657027720130829.00,8/29/13,657,277,39,TEAM
667064620130829.00,8/29/13,667,646,3,TEAM
711016420130829.00,8/29/13,711,164,25,TEAM
719007120130829.00,8/29/13,719,71,96,TEAM
731073220130829.00,8/29/13,731,732,135,TEAM
769041920130829.00,8/29/13,769,419,116,TEAM
1320074920130820.00,8/29/13,1320,749,83,TEAM
229041520130830.00,8/30/13,229,415,30,TEAM
446072520130830.00,8/30/13,446,725,93,TEAM
493032720130830.00,8/30/13,493,327,52,TEAM
501002920130830.00,8/30/13,501,29,11,TEAM
625025420130830.00,8/30/13,625,254,38,TEAM
665028820130830.00,8/30/13,665,288,128,TEAM
700066320130830.00,8/30/13,700,663,122,TEAM
774041620130830.00,8/30/13,774,416,68,TEAM
8074220130831.00,8/31/13,8,742,38,NEUTRAL
9071620130831.00,8/31/13,9,716,4,TEAM
43069420130831.00,8/31/13,43,694,114,TEAM
66075620130831.00,8/31/13,66,756,140,TEAM
77074620130831.00,8/31/13,77,746,137,TEAM
86051820130831.00,8/31/13,86,518,99,TEAM
129041820130831.00,8/31/13,129,418,66,TEAM
153072120130831.00,8/31/13,153,721,21,TEAM
201062620130831.00,8/31/13,201,626,16,TEAM
207052820130831.00,8/31/13,207,528,107,TEAM
231039220130831.00,8/31/13,231,392,64,TEAM
257014720130831.00,8/31/13,257,147,112,TEAM
290020420130831.00,8/31/13,290,204,71,TEAM
295049720130831.00,8/31/13,295,497,160,TEAM
334077220130831.00,8/31/13,334,772,118,NEUTRAL
365069820130831.00,8/31/13,365,698,155,NEUTRAL
366049020130831.00,8/31/13,366,490,82,TEAM
400079620130831.00,8/31/13,400,796,141,TEAM
402065120130831.00,8/31/13,402,651,35,TEAM
414038820130831.00,8/31/13,414,388,142,TEAM
430052120130831.00,8/31/13,430,521,128,NEUTRAL
454043420130831.00,8/31/13,454,434,73,TEAM
466011020130831.00,8/31/13,466,110,15,TEAM
472070320130831.00,8/31/13,472,703,119,TEAM
483052920130831.00,8/31/13,483,529,108,TEAM
489019320130831.00,8/31/13,489,193,80,TEAM
498052220130831.00,8/31/13,498,522,103,TEAM
503031220130831.00,8/31/13,503,312,41,TEAM
504031120130831.00,8/31/13,504,311,40,TEAM
509010720130831.00,8/31/13,509,107,12,TEAM
523019620130831.00,8/31/13,523,196,81,TEAM
539068820130831.00,8/31/13,539,688,157,NEUTRAL
559014020130831.00,8/31/13,559,140,97,TEAM
574069720130831.00,8/31/13,574,697,120,TEAM
659030120130831.00,8/31/13,659,301,44,TEAM
670066420130831.00,8/31/13,670,664,75,TEAM
671003120130831.00,8/31/13,671,31,6,TEAM
690051320130831.00,8/31/13,690,513,49,TEAM
706047320130831.00,8/31/13,706,473,87,TEAM
709023520130831.00,8/31/13,709,235,27,TEAM
739006720130831.00,8/31/13,739,67,61,TEAM
754003720130831.00,8/31/13,754,37,1,TEAM
786076820130831.00,8/31/13,786,768,143,TEAM
811046320130831.00,8/31/13,811,463,84,TEAM
1068025520130830.00,8/31/13,1068,255,37,TEAM
2678003020130830.00,8/31/13,2678,30,7,TEAM
2915005120130830.00,8/31/13,2915,51,132,TEAM
157015620130901.00,9/1/13,157,156,22,NEUTRAL
519036720130901.00,9/1/13,519,367,54,TEAM
234054520130902.00,9/2/13,234,545,110,TEAM
102002820130905.00,9/5/13,102,28,10,TEAM
229019620130905.00,9/5/13,229,196,81,TEAM
128023120130906.00,9/6/13,128,231,31,TEAM
749006720130906.00,9/6/13,749,67,61,TEAM
9036520130907.00,9/7/13,9,365,55,TEAM
17043020130907.00,9/7/13,17,430,77,TEAM
29046520130907.00,9/7/13,29,465,89,TEAM
30003720130907.00,9/7/13,30,37,1,TEAM
43073620130907.00,9/7/13,43,736,117,TEAM
71033120130907.00,9/7/13,71,331,100,TEAM
86005120130907.00,9/7/13,86,51,132,TEAM
90009620130907.00,9/7/13,90,96,13,TEAM
108046620130907.00,9/7/13,108,466,90,TEAM
140030120130907.00,9/7/13,140,301,44,TEAM
156071920130907.00,9/7/13,156,719,105,TEAM
193040420130907.00,9/7/13,193,404,115,TEAM
202036720130907.00,9/7/13,202,367,54,TEAM
204053920130907.00,9/7/13,204,539,111,TEAM
235041520130907.00,9/7/13,235,415,30,TEAM
261049820130907.00,9/7/13,261,498,57,TEAM
277052820130907.00,9/7/13,277,528,107,TEAM
288069020130907.00,9/7/13,288,690,109,TEAM
295081120130907.00,9/7/13,295,811,144,TEAM
305055920130907.00,9/7/13,305,559,50,TEAM
317000520130907.00,9/7/13,317,5,154,TEAM
346036620130907.00,9/7/13,346,366,59,TEAM
380040020130907.00,9/7/13,380,400,163,TEAM
414033420130907.00,9/7/13,414,334,53,TEAM
419045720130907.00,9/7/13,419,457,78,TEAM
428047220130907.00,9/7/13,428,472,88,TEAM
440066320130907.00,9/7/13,440,663,122,TEAM
469012920130907.00,9/7/13,469,129,70,TEAM
473070420130907.00,9/7/13,473,704,124,TEAM
483077420130907.00,9/7/13,483,774,69,TEAM
485058720130907.00,9/7/13,485,587,86,TEAM
497051920130907.00,9/7/13,497,519,95,TEAM
