teamCode,teamName,conference,teamAbbr
5,Akron,875,AKRON
8,Alabama,911,ALA
9,UAB,24312,UAB
28,Arizona State,905,ASU
29,Arizona,905,ARIZ
30,Arkansas State,818,ARKST
31,Arkansas,911,ARK
37,Auburn,911,AUBURN
47,Ball State,875,BALLST
51,Baylor,25354,BAYLOR
66,Boise State,5486,BSU
67,Boston College,821,BC
71,Bowling Green,875,BGST
77,BYU,99001,BYU
86,Buffalo,875,BUFF
96,Fresno State,5486,FRESNO
107,California,905,CAL
110,UCLA,905,UCLA
128,UCF,823,UCF
129,Central Michigan,875,CMU
140,Cincinnati,823,CINCY
147,Clemson,821,CLEM
156,Colorado State,5486,CSU
157,Colorado,905,COLO
164,Connecticut,823,UCONN
193,Duke,821,DUKE
196,East Carolina,24312,ECU
204,Eastern Michigan,875,EMU
229,Florida Atlantic,24312,FAU
231,Florida International,24312,FIU
234,Florida State,821,FSU
235,Florida,911,UF
254,Georgia State,818,GSU
255,Georgia Tech,821,GT
257,Georgia,911,UGA
277,Hawai'i,5486,HAWAII
288,Houston,823,HOU
295,Idaho,99001,IDAHO
301,Illinois,827,ILL
306,Indiana,827,IND
311,Iowa State,25354,ISU
312,Iowa,827,IOWA
327,Kansas State,25354,KSU
328,Kansas,25354,KANSAS
331,Kent State,875,KENT
334,Kentucky,911,UK
365,LSU,911,LSU
366,Louisiana Tech,24312,LATECH
367,Louisville,823,LVILLE
388,Marshall,24312,MARSH
392,Maryland,821,MD
400,Massachusetts,875,UMASS
404,Memphis,823,MEM
414,Miami (Ohio),875,MOH
415,Miami (Florida),821,MIAMI
416,Michigan State,827,MICHST
418,Michigan,827,MICH
419,Middle Tennessee,24312,MTSU
428,Minnesota,827,MINN
430,Mississippi State,911,MISSST
433,Mississippi,911,OLEMISS
434,Missouri,911,MIZZOU
457,North Carolina,821,UNC
463,Nebraska,827,NEBR
465,UNLV,5486,UNLV
466,Nevada,5486,NEV
472,New Mexico State,99001,UNM
473,New Mexico,5486,NMSU
490,North Carolina State,821,NCSU
497,North Texas,24312,UNT
498,Louisiana-Monroe,818,ULM
503,Northern Illinois,875,NIU
509,Northwestern,827,NWEST
513,Notre Dame,99001,ND
518,Ohio State,827,OHIOST
519,Ohio,875,OHIO
521,Oklahoma State,25354,OKLAST
522,Oklahoma,25354,OKLA
528,Oregon State,905,ORST
529,Oregon,905,OREGON
539,Penn State,827,PENNST
545,Pittsburgh,821,PITT
559,Purdue,827,PURDUE
574,Rice,24312,RICE
587,Rutgers,823,RUTG
626,San Diego State,5486,SDSU
630,San Jose State,5486,SJSU
646,South Alabama,818,SA
648,South Carolina,911,SCAR
651,South Florida,823,USF
657,USC,905,USC
663,SMU,823,SMU
664,Southern Mississippi,24312,SMISS
670,Texas State,818,TEXST
671,Louisiana-Lafayette,818,ULL
674,Stanford,905,STAN
688,Syracuse,821,SYR
690,Temple,823,TEMPLE
694,Tennessee,911,TENN
697,Texas A&M,911,TAM
698,TCU,25354,TCU
700,Texas Tech,25354,TTU
703,Texas,25354,TEXAS
704,UTEP,24312,UTEP
706,UTSA,24312,UTSA
709,Toledo,875,TOLEDO
716,Troy,818,TROY
718,Tulane,24312,TULANE
719,Tulsa,24312,TULSA
721,Air Force,5486,AF
725,Army,99001,ARMY
726,Navy,99001,NAVY
731,Utah State,5486,USU
732,Utah,905,UTAH
736,Vanderbilt,911,VANDY
742,Virginia Tech,821,VT
746,Virginia,821,UVA
749,Wake Forest,821,WF
754,Washington State,905,WSU
756,Washington,905,WASH
768,West Virginia,25354,WVU
772,Western Kentucky,818,WKU
774,Western Michigan,875,WMU
796,Wisconsin,827,WISC
811,Wyoming,5486,WYO
2,Abilene Christian,99005,ABC
6,Alabama A&M,916,AAM
7,Alabama St.,916,ALABST
14,Albany (N.Y.),846,ALBANY
17,Alcorn St.,916,ALCORN
27,Appalachian State,912,APPST
43,Austin Peay,902,PEAY
48,Charleston So.,826,CS
61,Bethune-Cookman,876,BETHC
80,Brown,865,BROWN
81,Bryant,846,BRYANT
83,Bucknell,838,BUCK
87,Butler,21451,BUTLER
90,Cal Poly,825,CP
102,Sacramento State,825,SACST
108,UC Davis,825,DAVIS
115,Campbell,21451,CAMP
127,Central Conn. St.,846,CCSU
141,Citadel,912,CITADEL
149,Coastal Carolina,826,COASTAL
153,Colgate,838,COLGATE
158,Columbia,865,COLUM
167,Cornell,865,CORNELL
172,Dartmouth,865,DART
173,Davidson,21451,DAVID
175,Dayton,21451,DAYTON
178,Delaware State,876,DELST
180,Delaware,837,DELA
189,Drake,21451,DRAKE
194,Duquesne,846,DUQ
201,Eastern Illinois,902,EIU
202,Eastern Kentucky,902,EKU
207,Eastern Washington,825,EWU
228,Florida A&M,876,FAM
236,Fordham,838,FORD
244,Furman,912,FURM
251,Georgetown,838,GTOWN
253,Georgia Southern,912,GSOUTH
261,Grambling,916,GRAMB
270,Hampton,876,HAMP
275,Harvard,865,HARV
285,Holy Cross,838,HC
290,Howard,876,HOWARD
294,Idaho State,825,IDAHST
299,Illinois State,853,ILLST
305,Indiana State,853,INDST
314,Jackson State,916,JACKST
315,Jacksonville State,902,JVILST
316,Jacksonville,21451,JVILLE
317,James Madison,837,JMU
342,Lafayette,838,LAF
346,Lamar,914,LAMAR
352,Lehigh,838,LEHIGH
355,Liberty,826,LIBERTY
380,Maine,837,MAINE
386,Marist,21451,MARIST
402,McNeese State,914,MCNST
432,Mississippi Valley State,916,MVSU
439,Monmouth,846,MONM
440,Montana State,825,MONTST
441,Montana,825,MONT
444,Morehead State,21451,MOREST
446,Morgan State,876,MORGST
454,Murray State,902,MURRST
469,New Hampshire,837,UNH
483,Nicholls State,914,NICH
485,Norfolk State,876,NORF
488,North Carolina A&T,876,NCAT
489,N.C. Central,876,NCC
493,North Dakota State,853,NDSU
494,North Dakota,825,UND
501,Northern Arizona,825,NAU
502,Northern Colorado,825,NCU
504,Northern Iowa,853,UNI
508,Northwestern State,914,NWST
523,Old Dominion,837,ODU
540,Pennsylvania,865,UPENN
550,Portland State,825,PORTST
553,Prairie View A&M,916,PVAM
554,Princeton,865,PRIN
572,Rhode Island,837,URI
575,Richmond,837,RICH
579,Robert Morris,846,MORRIS
590,Sacred Heart,846,SACRED
600,St. Francis (Pa.),846,STFRAN
624,Sam Houston State,914,SHSU
625,Samford,912,SAMFORD
627,San Diego,21451,USD
632,Savannah State,876,SAVAN
647,South Carolina State,876,SCSU
649,South Dakota State,853,SDSU
650,South Dakota,853,SDAK
654,Southeast Missouri State,902,SEMOST
655,Southeastern Louisiana,914,SELA
659,Southern Illinois,853,SOILL
665,Southern University,916,STHN
667,Southern Utah,825,SUTAH
669,Missouri State,853,MOST
676,Stephen F. Austin,914,SFA
683,Stony Brook,826,STONY
691,Tennessee State,902,TNST
692,Tennessee Tech,902,TNTCH
693,Chattanooga,912,CHAT
695,Tennessee-Martin,902,UTM
699,Texas Southern,916,TXSO
711,Towson,837,TOWSON
735,Valparaiso,21451,VALPO
739,Villanova,837,NOVA
741,Virginia Military,826,VMI
748,Wagner,846,WAGNER
758,Weber State,825,WEBER
769,Western Carolina,912,WCU
771,Western Illinois,853,WIU
786,William & Mary,837,WM
813,Yale,865,YALE
817,Youngstown State,853,YOUNG
1004,Central Arkansas,914,CENTARK
1068,Elon,912,ELON
1092,Gardner-Webb,826,WEBB
1320,Presbyterian,826,PRESB
2678,Arkansas-Pine Bluff,916,ARKPB
2915,Wofford,912,WOFF
